id,country_ID,country,region,year,month,taric,type,eur,tons,eur_kg,eur_raw,tons_raw
208_121410_2006_11,208,Algeria,North Africa,2006,11,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.17981000000000003,0.0,0.0
208_121410_2006_12,208,Algeria,North Africa,2006,12,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.18521500000000002,0.0,0.0
208_121410_2008_1,208,Algeria,North Africa,2008,1,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.25548000000000004,0.0,0.0
208_121410_2008_2,208,Algeria,North Africa,2008,2,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.26088500000000003,0.0,0.0
208_121410_2008_3,208,Algeria,North Africa,2008,3,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.26629,0.0,0.0
208_121410_2008_4,208,Algeria,North Africa,2008,4,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.271695,0.0,0.0
208_121410_2008_5,208,Algeria,North Africa,2008,5,121410.0,Harina y pellets de alfalfa,5.77,20.82,0.2771,5.77,20.82
208_121410_2008_6,208,Algeria,North Africa,2008,6,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.2763464285714286,0.0,0.0
208_121410_2008_7,208,Algeria,North Africa,2008,7,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.27559285714285714,0.0,0.0
208_121410_2008_8,208,Algeria,North Africa,2008,8,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.27483928571428573,0.0,0.0
208_121410_2008_9,208,Algeria,North Africa,2008,9,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.2740857142857143,0.0,0.0
208_121410_2008_10,208,Algeria,North Africa,2008,10,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.27333214285714286,0.0,0.0
208_121410_2008_11,208,Algeria,North Africa,2008,11,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.27257857142857145,0.0,0.0
208_121410_2008_12,208,Algeria,North Africa,2008,12,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.271825,0.0,0.0
208_121410_2011_1,208,Algeria,North Africa,2011,1,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.2529857142857143,0.0,0.0
208_121410_2011_2,208,Algeria,North Africa,2011,2,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.25223214285714285,0.0,0.0
208_121410_2011_3,208,Algeria,North Africa,2011,3,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.25147857142857144,0.0,0.0
208_121410_2011_4,208,Algeria,North Africa,2011,4,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.250725,0.0,0.0
208_121410_2011_5,208,Algeria,North Africa,2011,5,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.24997142857142857,0.0,0.0
208_121410_2011_6,208,Algeria,North Africa,2011,6,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.24921785714285716,0.0,0.0
208_121410_2011_7,208,Algeria,North Africa,2011,7,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.24846428571428572,0.0,0.0
208_121410_2011_8,208,Algeria,North Africa,2011,8,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.24771071428571428,0.0,0.0
208_121410_2011_9,208,Algeria,North Africa,2011,9,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.24695714285714285,0.0,0.0
208_121410_2011_10,208,Algeria,North Africa,2011,10,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.24620357142857144,0.0,0.0
208_121410_2011_11,208,Algeria,North Africa,2011,11,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.24545,0.0,0.0
208_121410_2011_12,208,Algeria,North Africa,2011,12,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.24469642857142856,0.0,0.0
208_121410_2012_1,208,Algeria,North Africa,2012,1,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.24394285714285713,0.0,0.0
208_121410_2012_2,208,Algeria,North Africa,2012,2,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.24318928571428572,0.0,0.0
208_121410_2012_3,208,Algeria,North Africa,2012,3,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.24243571428571428,0.0,0.0
208_121410_2012_4,208,Algeria,North Africa,2012,4,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.24168214285714285,0.0,0.0
208_121410_2012_5,208,Algeria,North Africa,2012,5,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.24092857142857144,0.0,0.0
208_121410_2012_6,208,Algeria,North Africa,2012,6,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.240175,0.0,0.0
208_121410_2012_7,208,Algeria,North Africa,2012,7,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.23942142857142856,0.0,0.0
208_121410_2012_8,208,Algeria,North Africa,2012,8,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.23866785714285715,0.0,0.0
208_121410_2012_9,208,Algeria,North Africa,2012,9,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.23791428571428572,0.0,0.0
208_121410_2012_10,208,Algeria,North Africa,2012,10,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.23716071428571428,0.0,0.0
208_121410_2012_11,208,Algeria,North Africa,2012,11,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.23640714285714287,0.0,0.0
208_121410_2012_12,208,Algeria,North Africa,2012,12,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.23565357142857143,0.0,0.0
208_121410_2013_1,208,Algeria,North Africa,2013,1,121410.0,Harina y pellets de alfalfa,5.92,25.2,0.2349,5.92,25.2
208_121410_2013_2,208,Algeria,North Africa,2013,2,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.23399999999999999,0.0,0.0
208_121410_2013_3,208,Algeria,North Africa,2013,3,121410.0,Harina y pellets de alfalfa,5.74,24.62,0.2331,5.74,24.62
208_121410_2013_4,208,Algeria,North Africa,2013,4,121410.0,Harina y pellets de alfalfa,6.09,25.22,0.2415,6.09,25.22
208_121410_2013_5,208,Algeria,North Africa,2013,5,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.23629999999999998,0.0,0.0
208_121410_2013_6,208,Algeria,North Africa,2013,6,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.2311,0.0,0.0
208_121410_2013_7,208,Algeria,North Africa,2013,7,121410.0,Harina y pellets de alfalfa,5.39,23.86,0.2259,5.39,23.86
208_121410_2013_8,208,Algeria,North Africa,2013,8,121410.0,Harina y pellets de alfalfa,32.1,144.46,0.2222,32.1,144.46
208_121410_2013_9,208,Algeria,North Africa,2013,9,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.2317,0.0,0.0
208_121410_2013_10,208,Algeria,North Africa,2013,10,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.2412,0.0,0.0
208_121410_2013_11,208,Algeria,North Africa,2013,11,121410.0,Harina y pellets de alfalfa,48.59,193.82,0.2507,48.59,193.82
208_121410_2013_12,208,Algeria,North Africa,2013,12,121410.0,Harina y pellets de alfalfa,29.29,125.84,0.2328,29.29,125.84
208_121410_2014_1,208,Algeria,North Africa,2014,1,121410.0,Harina y pellets de alfalfa,18.45,71.9,0.2566,18.45,71.9
208_121410_2014_2,208,Algeria,North Africa,2014,2,121410.0,Harina y pellets de alfalfa,27.29,123.24,0.2214,27.29,123.24
208_121410_2014_3,208,Algeria,North Africa,2014,3,121410.0,Harina y pellets de alfalfa,27.0,119.86,0.2253,27.0,119.86
208_121410_2014_4,208,Algeria,North Africa,2014,4,121410.0,Harina y pellets de alfalfa,69.95,357.02,0.1959,69.95,357.02
208_121410_2014_5,208,Algeria,North Africa,2014,5,121410.0,Harina y pellets de alfalfa,15.92,74.2,0.2146,15.92,74.2
208_121410_2014_6,208,Algeria,North Africa,2014,6,121410.0,Harina y pellets de alfalfa,726.65,4490.91,0.1618,726.65,4490.91
208_121410_2014_7,208,Algeria,North Africa,2014,7,121410.0,Harina y pellets de alfalfa,10.53,96.64,0.109,10.53,96.64
208_121410_2014_8,208,Algeria,North Africa,2014,8,121410.0,Harina y pellets de alfalfa,19.7,97.82,0.2014,19.7,97.82
